sex,sex2,week,things,people1,people2
women,men,Mon.,read a book,10,3
women,men,Tue.,read a book,11,5
women,men,Wed.,read a book,13,4
women,men,Thu.,read a book,15,8
women,men,Fri.,read a book,9,3
women,men,Sat.,read a book,14,7
women,men,Sun.,read a book,18,10
women,men,Mon.,listen to music,20,23
women,men,Tue.,listen to music,23,30
women,men,Wed.,listen to music,18,28
women,men,Thu.,listen to music,27,37
women,men,Fri.,listen to music,34,31
women,men,Sat.,listen to music,29,26
women,men,Sun.,listen to music,39,35
women,men,Mon.,play game,2,3
women,men,Tue.,play game,5,1
women,men,Wed.,play game,3,5
women,men,Thu.,play game,4,7
women,men,Fri.,play game,7,6
women,men,Sat.,play game,8,2
women,men,Sun.,play game,1,6
women,men,Mon.,social media,20,25
women,men,Tue.,social media,23,30
women,men,Wed.,social media,31,28
women,men,Thu.,social media,28,23
women,men,Fri.,social media,19,26
women,men,Sat.,social media,27,17
women,men,Sun.,social media,32,41
women,men,Mon.,chat,10,9
women,men,Tue.,chat,14,10
women,men,Wed.,chat,20,16
women,men,Thu.,chat,18,13
women,men,Fri.,chat,9,18
women,men,Sat.,chat,23,15
women,men,Sun.,chat,26,19
women,men,Mon.,wondering,18,13
women,men,Tue.,wondering,23,20
women,men,Wed.,wondering,27,18
women,men,Thu.,wondering,20,24
women,men,Fri.,wondering,28,15
women,men,Sat.,wondering,21,17
women,men,Sun.,wondering,23,13
women,men,Mon.,take a rest,16,6
women,men,Tue.,take a rest,20,8
women,men,Wed.,take a rest,23,7
women,men,Thu.,take a rest,18,10
women,men,Fri.,take a rest,27,5
women,men,Sat.,take a rest,19,9
women,men,Sun.,take a rest,27,15
